FROM,TO,PASSIVE,SURVEY
Pinellas Other,St Petersburg,175662,196751
Pinellas Other,Tampa,25835,33294
Pinellas Other,USF  Hosp  Busch,1594,6257
Plant City,Citrus,8,0
Plant City,Clearwater,107,0
Plant City,External,9034,5493
Plant City,Hernando Other,117,0
Plant City,Hillsborough Other,42659,23427
Plant City,Manatee Spur,53,0
Plant City,New Port Richey,8,0
Plant City,Pasco Other,1563,2422
Plant City,Pinellas Beaches,112,0
Plant City,Pinellas Other,518,8
Plant City,Plant City,112113,134557
Plant City,Spring Hill,112,0
Plant City,St Petersburg,412,65
Plant City,Tampa,3835,5324
Plant City,USF  Hosp  Busch,258,0
Spring Hill,Citrus,1779,3552
Spring Hill,Clearwater,310,124
Spring Hill,External,1343,1098
Spring Hill,Hernando Other,45946,55894
Spring Hill,Hillsborough Other,3754,2195
Spring Hill,Manatee Spur,5,0
Spring Hill,New Port Richey,902,1286
Spring Hill,Pasco Other,23472,14493
Spring Hill,Pinellas Beaches,124,0
Spring Hill,Pinellas Other,1511,773
Spring Hill,Plant City,112,0
Spring Hill,Spring Hill,136448,143048
Spring Hill,St Petersburg,373,1276
Spring Hill,Tampa,2637,2290
Spring Hill,USF  Hosp  Busch,471,33
St Petersburg,Citrus,76,0
St Petersburg,Clearwater,12589,28996
St Petersburg,External,5391,6407
St Petersburg,Hernando Other,214,0
St Petersburg,Hillsborough Other,19769,21255
St Petersburg,Manatee Spur,987,0
St Petersburg,New Port Richey,321,0
St Petersburg,Pasco Other,6221,730
St Petersburg,Pinellas Beaches,15605,6770
St Petersburg,Pinellas Other,175772,171983
St Petersburg,Plant City,412,0
St Petersburg,Spring Hill,373,903
St Petersburg,St Petersburg,622477,557898
St Petersburg,Tampa,24157,23730
St Petersburg,USF  Hosp  Busch,1156,9662
Tampa,Citrus,168,38
Tampa,Clearwater,7283,15446
Tampa,External,9507,34103
Tampa,Hernando Other,1616,1067
Tampa,Hillsborough Other,340847,398068
Tampa,Manatee Spur,385,293
Tampa,New Port Richey,482,1415
Tampa,Pasco Other,43361,69833
Tampa,Pinellas Beaches,2687,3574
Tampa,Pinellas Other,26025,36367
Tampa,Plant City,3827,1682
Tampa,Spring Hill,2627,64
Tampa,St Petersburg,24223,27311
Tampa,Tampa,1094044,1235028
Tampa,USF  Hosp  Busch,29418,69656
USF  Hosp  Busch,Citrus,26,3508
USF  Hosp  Busch,Clearwater,413,398
USF  Hosp  Busch,External,859,151
USF  Hosp  Busch,Hernando Other,264,0
USF  Hosp  Busch,Hillsborough Other,50769,61042
USF  Hosp  Busch,Manatee Spur,63,0
USF  Hosp  Busch,New Port Richey,207,0
USF  Hosp  Busch,Pasco Other,7909,5101
USF  Hosp  Busch,Pinellas Beaches,101,0
USF  Hosp  Busch,Pinellas Other,1591,6512
USF  Hosp  Busch,Plant City,266,0
USF  Hosp  Busch,Spring Hill,470,23
USF  Hosp  Busch,St Petersburg,1152,2625
USF  Hosp  Busch,Tampa,29322,88060
USF  Hosp  Busch,USF  Hosp  Busch,47543,153538
