FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Clearwater,New Port Richey,613,9
Pinellas Beaches,New Port Richey,123,18
St Petersburg,New Port Richey,321,8
Pasco Other,New Port Richey,38554,935
New Port Richey,New Port Richey,24381,611
Hernando Other,New Port Richey,416,19
Spring Hill,New Port Richey,902,9
External,New Port Richey,281,265
Citrus,New Port Richey,76,6
Manatee Spur,New Port Richey,4,0
Hillsborough Other,Hernando Other,3088,116
Pinellas Other,Hernando Other,875,66
St Petersburg,Hernando Other,214,9
Pasco Other,Hernando Other,19395,729
New Port Richey,Hernando Other,412,23
Hernando Other,Hernando Other,123581,4568
Spring Hill,Hernando Other,45946,1432
Citrus,Hernando Other,4298,268
External,Hernando Other,2747,2781
Tampa,Hernando Other,1616,108
USF  Hosp  Busch,Hernando Other,264,10
Clearwater,Hernando Other,271,18
Pinellas Beaches,Hernando Other,86,21
Plant City,Hernando Other,117,11
Manatee Spur,Hernando Other,6,1
Hillsborough Other,Spring Hill,3752,78
Tampa,Spring Hill,2627,113
USF  Hosp  Busch,Spring Hill,470,10
Pinellas Other,Spring Hill,1513,46
Pinellas Beaches,Spring Hill,121,31
Clearwater,Spring Hill,310,9
St Petersburg,Spring Hill,373,3
Pasco Other,Spring Hill,23522,538
New Port Richey,Spring Hill,900,11
Hernando Other,Spring Hill,46023,1356
Spring Hill,Spring Hill,136448,3300
Citrus,Spring Hill,1782,78
External,Spring Hill,1343,835
Plant City,Spring Hill,112,0
Manatee Spur,Spring Hill,5,0
Hillsborough Other,Citrus,271,12
Tampa,Citrus,168,13
Pinellas Beaches,Citrus,30,7
St Petersburg,Citrus,76,5
Pasco Other,Citrus,1587,80
Hernando Other,Citrus,4279,287
Citrus,Citrus,270692,14352
External,Citrus,13466,9109
Pinellas Other,Citrus,218,16
Spring Hill,Citrus,1779,81
Clearwater,Citrus,50,2
USF  Hosp  Busch,Citrus,26,5
Plant City,Citrus,8,1
New Port Richey,Citrus,76,6
Manatee Spur,Citrus,4,1
Hillsborough Other,Manatee Spur,2126,320
USF  Hosp  Busch,Manatee Spur,63,6
Tampa,Manatee Spur,385,97
Pinellas Other,Manatee Spur,684,69
Clearwater,Manatee Spur,58,21
Pinellas Beaches,Manatee Spur,36,14
St Petersburg,Manatee Spur,987,218
Pasco Other,Manatee Spur,98,15
Spring Hill,Manatee Spur,5,0
Manatee Spur,Manatee Spur,4232,1111
External,Manatee Spur,6996,5258
Plant City,Manatee Spur,53,7
New Port Richey,Manatee Spur,4,0
Hernando Other,Manatee Spur,6,1
Citrus,Manatee Spur,4,1
Hillsborough Other,External,36679,35960
Tampa,External,9507,18725
USF  Hosp  Busch,External,859,3530
Plant City,External,9034,10197
Pinellas Other,External,6821,7576
Pinellas Beaches,External,746,3458
Clearwater,External,1625,1837
St Petersburg,External,5391,7103
Pasco Other,External,9482,7413
New Port Richey,External,281,265
Hernando Other,External,2747,2781
Spring Hill,External,1343,835
Citrus,External,13466,9109
Manatee Spur,External,6996,5258
External,External,810,23514
