FROM,TO,TRIPS
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,60
Lake Lindsey  N. Central Hernando,External,337
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,216
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,213
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,49
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,2404
Lake Lindsey  N. Central Hernando,NW Hernando,611
Lake Lindsey  N. Central Hernando,North Central Citrus,81
Lake Lindsey  N. Central Hernando,Pasco,436
Lake Lindsey  N. Central Hernando,Pinellas,44
Lake Lindsey  N. Central Hernando,Richloam WMA and E Hernando,76
Lake Lindsey  N. Central Hernando,South Central Hernando,298
Lake Lindsey  N. Central Hernando,South East Citrus,94
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,1018
NW Hernando,Brooksville Area,1114
NW Hernando,Croom WMA  NE Hernando,112
NW Hernando,Crystal River and NW Citrus,231
NW Hernando,External,325
NW Hernando,Hillsborough  Manatee Spur,375
NW Hernando,Homosassa Springs  SW Citrus,935
NW Hernando,Inverness and NE Citrus,44
NW Hernando,Lake Lindsey  N. Central Hernando,611
NW Hernando,NW Hernando,8819
NW Hernando,North Central Citrus,95
NW Hernando,Pasco,1032
NW Hernando,Pinellas,147
NW Hernando,Richloam WMA and E Hernando,34
NW Hernando,South Central Hernando,301
NW Hernando,South East Citrus,43
NW Hernando,Spring Hill and SW Hernando,8998
North Central Citrus,Brooksville Area,118
North Central Citrus,Croom WMA  NE Hernando,58
North Central Citrus,Crystal River and NW Citrus,12219
North Central Citrus,External,9954
North Central Citrus,Hillsborough  Manatee Spur,99
North Central Citrus,Homosassa Springs  SW Citrus,6602
North Central Citrus,Inverness and NE Citrus,13289
North Central Citrus,Lake Lindsey  N. Central Hernando,81
North Central Citrus,NW Hernando,95
North Central Citrus,North Central Citrus,52817
North Central Citrus,Pasco,257
North Central Citrus,Pinellas,89
North Central Citrus,Richloam WMA and E Hernando,13
North Central Citrus,South Central Hernando,32
North Central Citrus,South East Citrus,2615
North Central Citrus,Spring Hill and SW Hernando,328
Pasco,Brooksville Area,3114
Pasco,Croom WMA  NE Hernando,1007
Pasco,Crystal River and NW Citrus,243
Pasco,External,0
Pasco,Hillsborough  Manatee Spur,0
Pasco,Homosassa Springs  SW Citrus,896
Pasco,Inverness and NE Citrus,168
Pasco,Lake Lindsey  N. Central Hernando,436
Pasco,NW Hernando,1032
Pasco,North Central Citrus,257
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Richloam WMA and E Hernando,3950
Pasco,South Central Hernando,5466
Pasco,South East Citrus,185
Pasco,Spring Hill and SW Hernando,30528
Pinellas,Brooksville Area,365
Pinellas,Croom WMA  NE Hernando,64
Pinellas,Crystal River and NW Citrus,73
Pinellas,External,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Homosassa Springs  SW Citrus,162
Pinellas,Inverness and NE Citrus,35
Pinellas,Lake Lindsey  N. Central Hernando,44
Pinellas,NW Hernando,147
Pinellas,North Central Citrus,89
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Richloam WMA and E Hernando,84
Pinellas,South Central Hernando,340
Pinellas,South East Citrus,46
Pinellas,Spring Hill and SW Hernando,2921
Richloam WMA and E Hernando,Brooksville Area,367
Richloam WMA and E Hernando,Croom WMA  NE Hernando,304
Richloam WMA and E Hernando,Crystal River and NW Citrus,4
Richloam WMA and E Hernando,External,1280
Richloam WMA and E Hernando,Hillsborough  Manatee Spur,727
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,16
Richloam WMA and E Hernando,Inverness and NE Citrus,22
Richloam WMA and E Hernando,Lake Lindsey  N. Central Hernando,76
Richloam WMA and E Hernando,NW Hernando,34
Richloam WMA and E Hernando,North Central Citrus,13
Richloam WMA and E Hernando,Pasco,3950
Richloam WMA and E Hernando,Pinellas,84
Richloam WMA and E Hernando,Richloam WMA and E Hernando,4045
Richloam WMA and E Hernando,South Central Hernando,325
Richloam WMA and E Hernando,South East Citrus,29
Richloam WMA and E Hernando,Spring Hill and SW Hernando,492
South Central Hernando,Brooksville Area,4947
South Central Hernando,Croom WMA  NE Hernando,1113
South Central Hernando,Crystal River and NW Citrus,37
South Central Hernando,External,628
South Central Hernando,Hillsborough  Manatee Spur,1671
South Central Hernando,Homosassa Springs  SW Citrus,125
South Central Hernando,Inverness and NE Citrus,21
South Central Hernando,Lake Lindsey  N. Central Hernando,298
South Central Hernando,NW Hernando,301
South Central Hernando,North Central Citrus,32
South Central Hernando,Pasco,5466
South Central Hernando,Pinellas,340
South Central Hernando,Richloam WMA and E Hernando,325
South Central Hernando,South Central Hernando,7005
South Central Hernando,South East Citrus,30
South Central Hernando,Spring Hill and SW Hernando,9978
South East Citrus,Brooksville Area,250
South East Citrus,Croom WMA  NE Hernando,198
South East Citrus,Crystal River and NW Citrus,1075
South East Citrus,External,2326
South East Citrus,Hillsborough  Manatee Spur,72
South East Citrus,Homosassa Springs  SW Citrus,919
South East Citrus,Inverness and NE Citrus,6744
South East Citrus,Lake Lindsey  N. Central Hernando,94
South East Citrus,NW Hernando,43
South East Citrus,North Central Citrus,2615
South East Citrus,Pasco,185
South East Citrus,Pinellas,46
South East Citrus,Richloam WMA and E Hernando,29
South East Citrus,South Central Hernando,30
