FROM,TO,TRIPS
Tampa,Citrus,38
Tampa,Clearwater,15446
Tampa,External,34103
Tampa,Hernando Other,1067
Tampa,Hillsborough Other,398068
Tampa,Manatee Spur,293
Tampa,New Port Richey,1415
Tampa,Pasco Other,69833
Tampa,Pinellas Beaches,3574
Tampa,Pinellas Other,36367
Tampa,Plant City,1682
Tampa,Spring Hill,64
Tampa,St Petersburg,27311
Tampa,Tampa,1235028
Tampa,USF  Hosp  Busch,69656
USF  Hosp  Busch,Citrus,3508
USF  Hosp  Busch,Clearwater,398
USF  Hosp  Busch,External,151
USF  Hosp  Busch,Hernando Other,0
USF  Hosp  Busch,Hillsborough Other,61042
USF  Hosp  Busch,Manatee Spur,0
USF  Hosp  Busch,New Port Richey,0
USF  Hosp  Busch,Pasco Other,5101
USF  Hosp  Busch,Pinellas Beaches,0
USF  Hosp  Busch,Pinellas Other,6512
USF  Hosp  Busch,Plant City,0
USF  Hosp  Busch,Spring Hill,23
USF  Hosp  Busch,St Petersburg,2625
USF  Hosp  Busch,Tampa,88060
USF  Hosp  Busch,USF  Hosp  Busch,153538
