FROM,TO,TRIPS
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,7469
NW Hernando,Brooksville Area,67
NW Hernando,Croom WMA  NE Hernando,0
NW Hernando,Crystal River and NW Citrus,0
NW Hernando,External,0
NW Hernando,Hillsborough  Manatee Spur,278
NW Hernando,Homosassa Springs  SW Citrus,0
NW Hernando,Inverness and NE Citrus,0
NW Hernando,Lake Lindsey  N. Central Hernando,0
NW Hernando,NW Hernando,2833
NW Hernando,North Central Citrus,0
NW Hernando,Pasco,0
NW Hernando,Pinellas,84
NW Hernando,Richloam WMA and E Hernando,0
NW Hernando,South Central Hernando,0
NW Hernando,South East Citrus,0
NW Hernando,Spring Hill and SW Hernando,16199
North Central Citrus,Brooksville Area,0
North Central Citrus,Croom WMA  NE Hernando,0
North Central Citrus,Crystal River and NW Citrus,33215
North Central Citrus,External,4762
North Central Citrus,Hillsborough  Manatee Spur,139
North Central Citrus,Homosassa Springs  SW Citrus,14166
North Central Citrus,Inverness and NE Citrus,24687
North Central Citrus,Lake Lindsey  N. Central Hernando,0
North Central Citrus,NW Hernando,0
North Central Citrus,North Central Citrus,101735
North Central Citrus,Pasco,0
North Central Citrus,Pinellas,0
North Central Citrus,Richloam WMA and E Hernando,0
North Central Citrus,South Central Hernando,0
North Central Citrus,South East Citrus,9064
North Central Citrus,Spring Hill and SW Hernando,347
Pasco,Brooksville Area,4222
Pasco,Croom WMA  NE Hernando,0
Pasco,Crystal River and NW Citrus,2454
Pasco,External,0
Pasco,Hillsborough  Manatee Spur,0
Pasco,Homosassa Springs  SW Citrus,1
Pasco,Inverness and NE Citrus,0
Pasco,Lake Lindsey  N. Central Hernando,0
Pasco,NW Hernando,0
Pasco,North Central Citrus,0
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Richloam WMA and E Hernando,2929
Pasco,South Central Hernando,6431
Pasco,South East Citrus,0
Pasco,Spring Hill and SW Hernando,28428
Pinellas,Brooksville Area,118
Pinellas,Croom WMA  NE Hernando,98
Pinellas,Crystal River and NW Citrus,0
Pinellas,External,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Homosassa Springs  SW Citrus,513
Pinellas,Inverness and NE Citrus,0
Pinellas,Lake Lindsey  N. Central Hernando,0
Pinellas,NW Hernando,0
Pinellas,North Central Citrus,0
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Richloam WMA and E Hernando,0
Pinellas,South Central Hernando,0
Pinellas,South East Citrus,0
