FROM,TO,TRIPS
External,Lacoochie Ind Area,0
External,Land O Lakes  Connerton,0
External,NW Pasco,0
External,New Port Richey,0
External,Pasco Central,98
External,Pasco East,746
External,Pasco West,2095
External,Pinellas,0
External,San Antonio,0
External,Seven Springs  Odessa,0
External,Suncoast  SR 54,0
External,Wesley Chapel  I-75 - SR56,494
External,Zephyrhills,360
Hernando,Citrus,0
Hernando,Dade City,40
Hernando,E New Port Richey,444
Hernando,External,0
Hernando,Hernando,0
Hernando,Hillsborough  Manatee Spur,0
Hernando,Hudson,783
Hernando,I-75  SR 52,41
Hernando,Lacoochie Ind Area,0
Hernando,Land O Lakes  Connerton,3469
Hernando,NW Pasco,3297
Hernando,New Port Richey,6358
Hernando,Pasco Central,17818
Hernando,Pasco East,4120
Hernando,Pasco West,4614
Hernando,Pinellas,0
Hernando,San Antonio,163
Hernando,Seven Springs  Odessa,176
Hernando,Suncoast  SR 54,354
Hernando,Wesley Chapel  I-75 - SR56,71
Hernando,Zephyrhills,0
Hillsborough  Manatee Spur,Citrus,0
Hillsborough  Manatee Spur,Dade City,207
Hillsborough  Manatee Spur,E New Port Richey,35
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hernando,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Hudson,2364
Hillsborough  Manatee Spur,I-75  SR 52,96
Hillsborough  Manatee Spur,Lacoochie Ind Area,0
Hillsborough  Manatee Spur,Land O Lakes  Connerton,30803
Hillsborough  Manatee Spur,NW Pasco,0
Hillsborough  Manatee Spur,New Port Richey,3749
Hillsborough  Manatee Spur,Pasco Central,32783
Hillsborough  Manatee Spur,Pasco East,44544
Hillsborough  Manatee Spur,Pasco West,4549
Hillsborough  Manatee Spur,Pinellas,0
Hillsborough  Manatee Spur,San Antonio,303
Hillsborough  Manatee Spur,Seven Springs  Odessa,7606
Hillsborough  Manatee Spur,Suncoast  SR 54,7140
Hillsborough  Manatee Spur,Wesley Chapel  I-75 - SR56,21608
Hillsborough  Manatee Spur,Zephyrhills,9811
Hudson,Citrus,1
Hudson,Dade City,0
Hudson,E New Port Richey,0
Hudson,External,0
Hudson,Hernando,533
Hudson,Hillsborough  Manatee Spur,2232
Hudson,Hudson,10052
Hudson,I-75  SR 52,0
Hudson,Lacoochie Ind Area,0
Hudson,Land O Lakes  Connerton,0
Hudson,NW Pasco,73
Hudson,New Port Richey,2206
Hudson,Pasco Central,974
Hudson,Pasco East,0
Hudson,Pasco West,10603
Hudson,Pinellas,1
Hudson,San Antonio,0
Hudson,Seven Springs  Odessa,0
Hudson,Suncoast  SR 54,0
Hudson,Wesley Chapel  I-75 - SR56,0
Hudson,Zephyrhills,0
