ZONE,COUNTY,MODE,TRIPS
102,Hillsborough County,SCHOOL BUS,79
102,Hillsborough County,WALK,442
103,Hillsborough County,AUTO,815
103,Hillsborough County,SCHOOL BUS,1891
103,Hillsborough County,WALK,79
104,Hillsborough County,AUTO,4248
105,Hillsborough County,AUTO,1852
105,Hillsborough County,BIKE,2233
105,Hillsborough County,WALK,1117
106,Hillsborough County,AUTO,32
107,Hillsborough County,AUTO,2196
107,Hillsborough County,WALK,500
108,Hillsborough County,AUTO,14139
108,Hillsborough County,WALK,497
109,Hillsborough County,AUTO,29904
109,Hillsborough County,WALK,2392
110,Hillsborough County,AUTO,15008
110,Hillsborough County,BIKE,47
110,Hillsborough County,OTHER,269
110,Hillsborough County,WALK,103
111,Hillsborough County,AUTO,1806
111,Hillsborough County,WALK,413
112,Hillsborough County,AUTO,5191
112,Hillsborough County,OTHER,154
112,Hillsborough County,WALK,349
113,Hillsborough County,AUTO,14026
113,Hillsborough County,WALK,397
114,Hillsborough County,AUTO,30646
114,Hillsborough County,TNC,732
114,Hillsborough County,WALK,609
115,Hillsborough County,AUTO,797
115,Hillsborough County,SCHOOL BUS,79
116,Hillsborough County,AUTO,28319
116,Hillsborough County,TNC,98
116,Hillsborough County,WALK,37
117,Hillsborough County,AUTO,8187
117,Hillsborough County,TRANSIT,99
117,Hillsborough County,WALK,395
118,Hillsborough County,AUTO,437
119,Hillsborough County,AUTO,588
120,Hillsborough County,AUTO,26460
120,Hillsborough County,BIKE,2328
120,Hillsborough County,SCHOOL BUS,3745
120,Hillsborough County,TRANSIT,2328
121,Hillsborough County,AUTO,2491
121,Hillsborough County,WALK,1036
122,Hillsborough County,AUTO,26120
122,Hillsborough County,BIKE,1552
122,Hillsborough County,SCHOOL BUS,1873
122,Hillsborough County,WALK,1840
123,Hillsborough County,AUTO,45766
123,Hillsborough County,OTHER,269
123,Hillsborough County,TRANSIT,713
123,Hillsborough County,WALK,235
124,Hillsborough County,AUTO,419
124,Hillsborough County,OTHER,539
125,Hillsborough County,AUTO,4216
126,Hillsborough County,AUTO,1118
126,Hillsborough County,TRANSIT,2143
127,Hillsborough County,AUTO,15039
127,Hillsborough County,OTHER,269
127,Hillsborough County,WALK,67
128,Hillsborough County,AUTO,10793
128,Hillsborough County,TRANSIT,3523
128,Hillsborough County,WALK,62
129,Hillsborough County,AUTO,24761
130,Hillsborough County,AUTO,1132
131,Hillsborough County,AUTO,347
131,Hillsborough County,WALK,32
132,Hillsborough County,AUTO,16467
132,Hillsborough County,WALK,3533
133,Hillsborough County,AUTO,16267
133,Hillsborough County,WALK,3495
134,Hillsborough County,AUTO,19550
134,Hillsborough County,WALK,8443
135,Hillsborough County,AUTO,8551
136,Hillsborough County,AUTO,576
136,Hillsborough County,WALK,281
137,Hillsborough County,AUTO,1690
137,Hillsborough County,WALK,512
138,Hillsborough County,AUTO,18918
138,Hillsborough County,WALK,2182
139,Hillsborough County,AUTO,1206
140,Hillsborough County,AUTO,17104
141,Hillsborough County,AUTO,17487
141,Hillsborough County,TNC,98
141,Hillsborough County,TRANSIT,98
142,Hillsborough County,AUTO,10635
142,Hillsborough County,TNC,99
142,Hillsborough County,WALK,572
143,Hillsborough County,AUTO,1058
143,Hillsborough County,WALK,421
144,Hillsborough County,AUTO,3229
144,Hillsborough County,WALK,697
145,Hillsborough County,AUTO,2837
145,Hillsborough County,WALK,259
146,Hillsborough County,AUTO,9906
146,Hillsborough County,WALK,602
147,Hillsborough County,AUTO,18655
147,Hillsborough County,WALK,4286
148,Hillsborough County,AUTO,356
148,Hillsborough County,TNC,150
148,Hillsborough County,TRANSIT,357
149,Hillsborough County,AUTO,7011
149,Hillsborough County,TRANSIT,2143
151,Hillsborough County,AUTO,6728
152,Hillsborough County,AUTO,203
153,Hillsborough County,AUTO,3237
153,Hillsborough County,TRANSIT,59
153,Hillsborough County,WALK,41
154,Hillsborough County,AUTO,742
155,Hillsborough County,AUTO,7073
155,Hillsborough County,BIKE,656
155,Hillsborough County,WALK,2765
156,Hillsborough County,AUTO,5663
156,Hillsborough County,OTHER,115
157,Hillsborough County,AUTO,4251
157,Hillsborough County,OTHER,124
157,Hillsborough County,SHUTTLE VANPOOL,9
157,Hillsborough County,TRANSIT,269
158,Hillsborough County,AUTO,962
158,Hillsborough County,BIKE,858
158,Hillsborough County,WALK,973
159,Hillsborough County,AUTO,361
160,Hillsborough County,AUTO,2594
161,Hillsborough County,AUTO,6653
161,Hillsborough County,WALK,4
162,Hillsborough County,AUTO,10570
162,Hillsborough County,WALK,7548
163,Hillsborough County,AUTO,13955
163,Hillsborough County,BIKE,656
163,Hillsborough County,WALK,347
164,Hillsborough County,AUTO,15982
164,Hillsborough County,BIKE,1039
164,Hillsborough County,WALK,2688
165,Hillsborough County,AUTO,31801
165,Hillsborough County,WALK,973
166,Hillsborough County,AUTO,7340
167,Hillsborough County,AUTO,11315
167,Hillsborough County,WALK,126
168,Hillsborough County,AUTO,14028
168,Hillsborough County,OTHER,124
168,Hillsborough County,WALK,4
169,Hillsborough County,AUTO,831
169,Hillsborough County,WALK,326
170,Hillsborough County,AUTO,9176
171,Hillsborough County,AUTO,11259
171,Hillsborough County,WALK,3656
172,Hillsborough County,AUTO,2822
172,Hillsborough County,TNC,312
173,Hillsborough County,AUTO,4188
173,Hillsborough County,SCHOOL BUS,3786
174,Hillsborough County,AUTO,2784
175,Hillsborough County,AUTO,79
176,Hillsborough County,AUTO,12078
177,Hillsborough County,AUTO,51
178,Hillsborough County,AUTO,690
178,Hillsborough County,WALK,2036
179,Hillsborough County,AUTO,2748
179,Hillsborough County,TRANSIT,89
179,Hillsborough County,WALK,2353
180,Hillsborough County,AUTO,6
180,Hillsborough County,SCHOOL BUS,1613
180,Hillsborough County,WALK,53
181,Hillsborough County,AUTO,11104
181,Hillsborough County,WALK,2353
182,Hillsborough County,AUTO,719
183,Hillsborough County,AUTO,3876
183,Hillsborough County,WALK,125
184,Hillsborough County,AUTO,5137
