FROM,TO,TRIPS
External,NE Hilsborough,4282
External,NW Hilsborough,554
External,New Tampa,0
External,Pasco,0
External,Pinellas,0
External,Plant City Area,3166
External,Port of Tampa  50th St Corridor,3854
External,SE Hillsborough,4701
External,SW Hillsborough,640
External,TPA  Anderson Rd,6232
External,Tampa Central,13027
External,USF  Hosp  Busch,148
External,West Brandon,617
External,Westshore  Rocky Point,656
Gibsonton,Apollo Beach  Ruskin,1008
Gibsonton,CZ2,6296
Gibsonton,CZ4,25979
Gibsonton,Citrus Park,0
Gibsonton,Downtown,3546
Gibsonton,East Town,730
Gibsonton,External,8007
Gibsonton,Gibsonton,63734
Gibsonton,Harney Canal,0
Gibsonton,Hernando  Citrus,0
Gibsonton,MacDill AFB,1
Gibsonton,Manatee Spur,230
Gibsonton,NE Hilsborough,22594
Gibsonton,NW Hilsborough,4094
Gibsonton,New Tampa,0
Gibsonton,Pasco,270
Gibsonton,Pinellas,1136
Gibsonton,Plant City Area,0
Gibsonton,Port of Tampa  50th St Corridor,1100
Gibsonton,SE Hillsborough,23229
Gibsonton,SW Hillsborough,1388
Gibsonton,TPA  Anderson Rd,1776
Gibsonton,Tampa Central,4374
Gibsonton,USF  Hosp  Busch,152
Gibsonton,West Brandon,9231
Gibsonton,Westshore  Rocky Point,60
Harney Canal,Apollo Beach  Ruskin,0
Harney Canal,CZ2,47
Harney Canal,CZ4,99
Harney Canal,Citrus Park,0
Harney Canal,Downtown,697
Harney Canal,East Town,26
Harney Canal,External,4163
Harney Canal,Gibsonton,3
Harney Canal,Harney Canal,4978
Harney Canal,Hernando  Citrus,0
Harney Canal,MacDill AFB,0
Harney Canal,Manatee Spur,0
Harney Canal,NE Hilsborough,3413
Harney Canal,NW Hilsborough,1612
Harney Canal,New Tampa,541
Harney Canal,Pasco,1183
Harney Canal,Pinellas,794
Harney Canal,Plant City Area,0
Harney Canal,Port of Tampa  50th St Corridor,0
Harney Canal,SE Hillsborough,346
Harney Canal,SW Hillsborough,110
Harney Canal,TPA  Anderson Rd,0
Harney Canal,Tampa Central,6947
Harney Canal,USF  Hosp  Busch,13
