FROM,TO,Trips
NWAtlanta,NWAtlanta,52
NWAtlanta,NWDeKalb,2
NWAtlanta,Roswell,0
NWAtlanta,SDeKalb,0
NWAtlanta,SEAtlanta,1
NWAtlanta,SEDeKalb,1
NWAtlanta,SFulton,1
NWAtlanta,SWAtlanta,26
NWAtlanta,SWDeKalb,1
NWAtlanta,SandySprings,2
NWAtlanta,Shannon,2
NWAtlanta,Tri-Cities,4
NWDeKalb,Atlanta-DeKalb,3
NWDeKalb,Buckhead,5
NWDeKalb,CBDAtlanta,8
NWDeKalb,Chamblee,2
NWDeKalb,Decatur,11
NWDeKalb,NEAtlanta,8
NWDeKalb,NEDeKalb,6
NWDeKalb,NFulton,1
NWDeKalb,NWAtlanta,3
NWDeKalb,NWDeKalb,30
NWDeKalb,Roswell,0
NWDeKalb,SDeKalb,2
NWDeKalb,SEAtlanta,0
NWDeKalb,SEDeKalb,2
NWDeKalb,SFulton,0
NWDeKalb,SWAtlanta,1
NWDeKalb,SWDeKalb,8
NWDeKalb,SandySprings,1
NWDeKalb,Shannon,0
NWDeKalb,Tri-Cities,0
Roswell,Atlanta-DeKalb,0
Roswell,Buckhead,1
Roswell,CBDAtlanta,2
Roswell,Chamblee,0
Roswell,Decatur,0
Roswell,NEAtlanta,1
Roswell,NEDeKalb,1
Roswell,NFulton,2
Roswell,NWAtlanta,0
Roswell,NWDeKalb,0
Roswell,Roswell,7
Roswell,SDeKalb,0
Roswell,SEAtlanta,0
Roswell,SEDeKalb,0
Roswell,SFulton,0
Roswell,SWAtlanta,0
Roswell,SWDeKalb,0
Roswell,SandySprings,8
Roswell,Shannon,0
Roswell,Tri-Cities,0
SDeKalb,Atlanta-DeKalb,0
SDeKalb,Buckhead,1
SDeKalb,CBDAtlanta,2
SDeKalb,Chamblee,1
SDeKalb,Decatur,2
SDeKalb,NEAtlanta,0
SDeKalb,NEDeKalb,1
SDeKalb,NFulton,1
SDeKalb,NWAtlanta,0
SDeKalb,NWDeKalb,3
SDeKalb,Roswell,0
SDeKalb,SDeKalb,7
SDeKalb,SEAtlanta,1
SDeKalb,SEDeKalb,2
SDeKalb,SFulton,0
SDeKalb,SWAtlanta,0
SDeKalb,SWDeKalb,4
SDeKalb,SandySprings,0
SDeKalb,Shannon,0
SDeKalb,Tri-Cities,0
