ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 115,MID2 10:00 am - 11:00 am,102.29,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,AM4 7:00 am - 8:00 am,102.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 143,PM4 6:00 pm - 7:00 pm,102.01,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,AM4 7:00 am - 8:00 am,101.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID5 1:00 pm - 2:00 pm,101.96,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID3 11:00 am - 12:00 noon,101.8,ROUTE SURVEYED BY TIME PERIOD
MARTA 66,MID2 10:00 am - 11:00 am,101.71,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,PM5 7:00 pm - 8:00 pm,101.53,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,AM2 5:00 am - 6:00 am,101.29,ROUTE SURVEYED BY TIME PERIOD
SRTA 480,PM2 4:00 pm - 5:00 pm,101.16,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID4 12:00 noon - 1:00 pm,101.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM6 8:00 pm - 9:00 pm,100.73,ROUTE SURVEYED BY TIME PERIOD
MARTA 12,PM1 3:00 pm - 4:00 pm,100.5,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM6 8:00 pm - 9:00 pm,100.36,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM2 4:00 pm - 5:00 pm,100.34,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,AM3 6:00 am - 7:00 am,100.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,AM3 6:00 am - 7:00 am,100.14,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,PM1 3:00 pm - 4:00 pm,99.9,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 20,MID3 11:00 am - 12:00 noon,99.89,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM4 6:00 pm - 7:00 pm,99.71,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM5 7:00 pm - 8:00 pm,99.71,ROUTE SURVEYED BY TIME PERIOD
MARTA 75,MID2 10:00 am - 11:00 am,99.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,PM4 6:00 pm - 7:00 pm,99.49,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,PM2 4:00 pm - 5:00 pm,99.34,ROUTE SURVEYED BY TIME PERIOD
MARTA 26,PM2 4:00 pm - 5:00 pm,98.59,ROUTE SURVEYED BY TIME PERIOD
MARTA 111,AM2 5:00 am - 6:00 am,98.42,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM5 7:00 pm - 8:00 pm,98.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM1 3:00 pm - 4:00 pm,98.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,PM3 5:00 pm - 6:00 pm,98.16,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM2 4:00 pm - 5:00 pm,98.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 36,MID1 9:00 am - 10:00 am,98.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 191,PM3 5:00 pm - 6:00 pm,97.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,AM5 8:00 am - 9:00 am,97.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID4 12:00 noon - 1:00 pm,97.65,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,MID4 12:00 noon - 1:00 pm,97.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM3 5:00 pm - 6:00 pm,97.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM2 4:00 pm - 5:00 pm,96.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 143,PM1 3:00 pm - 4:00 pm,96.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,AM2 5:00 am - 6:00 am,96.38,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,MID2 10:00 am - 11:00 am,96.35,ROUTE SURVEYED BY TIME PERIOD
SRTA 463,PM4 6:00 pm - 7:00 pm,96.32,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 20,PM5 7:00 pm - 8:00 pm,96.08,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,PM5 7:00 pm - 8:00 pm,95.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,MID1 9:00 am - 10:00 am,95.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,PM2 4:00 pm - 5:00 pm,95.53,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,MID6 2:00 pm - 3:00 pm,95.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 172,MID6 2:00 pm - 3:00 pm,95.42,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,AM3 6:00 am - 7:00 am,95.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,MID3 11:00 am - 12:00 noon,94.93,ROUTE SURVEYED BY TIME PERIOD
SRTA 431,PM1 3:00 pm - 4:00 pm,94.91,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM3 5:00 pm - 6:00 pm,94,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID5 1:00 pm - 2:00 pm,93.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,MID3 11:00 am - 12:00 noon,93.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,MID4 12:00 noon - 1:00 pm,93.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,PM5 7:00 pm - 8:00 pm,93.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 74,PM1 3:00 pm - 4:00 pm,93.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,AM2 5:00 am - 6:00 am,92.7,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID5 1:00 pm - 2:00 pm,92.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,PM3 5:00 pm - 6:00 pm,92.55,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 100,PM2 4:00 pm - 5:00 pm,92.34,ROUTE SURVEYED BY TIME PERIOD
MARTA 19,MID6 2:00 pm - 3:00 pm,92.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM5 7:00 pm - 8:00 pm,92.05,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM4 6:00 pm - 7:00 pm,92.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 189,PM2 4:00 pm - 5:00 pm,92.01,ROUTE SURVEYED BY TIME PERIOD
SRTA 441,PM1 3:00 pm - 4:00 pm,91.73,ROUTE SURVEYED BY TIME PERIOD
MARTA 111,AM4 7:00 am - 8:00 am,91.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 189,AM5 8:00 am - 9:00 am,91.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,MID1 9:00 am - 10:00 am,91.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,MID1 9:00 am - 10:00 am,91.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,PM6 8:00 pm - 9:00 pm,91.17,ROUTE SURVEYED BY TIME PERIOD
MARTA 191,MID2 10:00 am - 11:00 am,91.13,ROUTE SURVEYED BY TIME PERIOD
MARTA 899,MID2 10:00 am - 11:00 am,91.06,ROUTE SURVEYED BY TIME PERIOD
MARTA 66,PM2 4:00 pm - 5:00 pm,90.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,AM3 6:00 am - 7:00 am,90.84,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,MID6 2:00 pm - 3:00 pm,90.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 111,PM1 3:00 pm - 4:00 pm,90.74,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,PM5 7:00 pm - 8:00 pm,90.63,ROUTE SURVEYED BY TIME PERIOD
SRTA 426,PM3 5:00 pm - 6:00 pm,90.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,AM2 5:00 am - 6:00 am,90.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,AM4 7:00 am - 8:00 am,90.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,PM3 5:00 pm - 6:00 pm,90.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,PM3 5:00 pm - 6:00 pm,90.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 86,PM4 6:00 pm - 7:00 pm,90.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,MID4 12:00 noon - 1:00 pm,90.14,ROUTE SURVEYED BY TIME PERIOD
MARTA 120,AM2 5:00 am - 6:00 am,90.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,PM5 7:00 pm - 8:00 pm,90,ROUTE SURVEYED BY TIME PERIOD
MARTA 133,MID1 9:00 am - 10:00 am,89.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,MID2 10:00 am - 11:00 am,89.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID1 9:00 am - 10:00 am,89.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM6 8:00 pm - 9:00 pm,89.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,MID1 9:00 am - 10:00 am,89.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 124,PM4 6:00 pm - 7:00 pm,89.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,MID2 10:00 am - 11:00 am,89.06,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM5 7:00 pm - 8:00 pm,88.96,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID6 2:00 pm - 3:00 pm,88.73,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM6 8:00 pm - 9:00 pm,88.73,ROUTE SURVEYED BY TIME PERIOD
SRTA 412,PM3 5:00 pm - 6:00 pm,88.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM6 8:00 pm - 9:00 pm,88.52,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,PM6 8:00 pm - 9:00 pm,88,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID1 9:00 am - 10:00 am,87.86,ROUTE SURVEYED BY TIME PERIOD
SRTA 490,PM2 4:00 pm - 5:00 pm,87.84,ROUTE SURVEYED BY TIME PERIOD
MARTA 143,AM4 7:00 am - 8:00 am,87.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,MID1 9:00 am - 10:00 am,87.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,AM5 8:00 am - 9:00 am,87.52,ROUTE SURVEYED BY TIME PERIOD
MARTA 37,PM4 6:00 pm - 7:00 pm,87.5,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 10A,PM1 3:00 pm - 4:00 pm,87.44,ROUTE SURVEYED BY TIME PERIOD
MARTA 26,MID4 12:00 noon - 1:00 pm,87.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID5 1:00 pm - 2:00 pm,87.22,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM6 8:00 pm - 9:00 pm,86.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM4 6:00 pm - 7:00 pm,86.55,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID4 12:00 noon - 1:00 pm,86.52,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM6 8:00 pm - 9:00 pm,86.4,ROUTE SURVEYED BY TIME PERIOD
MARTA 12,PM2 4:00 pm - 5:00 pm,86.35,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID4 12:00 noon - 1:00 pm,86.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM3 5:00 pm - 6:00 pm,86.04,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM4 6:00 pm - 7:00 pm,86.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,MID4 12:00 noon - 1:00 pm,86,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM1 3:00 pm - 4:00 pm,85.99,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,PM5 7:00 pm - 8:00 pm,85.76,ROUTE SURVEYED BY TIME PERIOD
SRTA 419,PM2 4:00 pm - 5:00 pm,85.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 74,PM3 5:00 pm - 6:00 pm,85.64,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 110,AM3 6:00 am - 7:00 am,85.52,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,AM5 8:00 am - 9:00 am,85.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,MID3 11:00 am - 12:00 noon,85.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 120,PM3 5:00 pm - 6:00 pm,85.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,AM2 5:00 am - 6:00 am,84.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 141,PM5 7:00 pm - 8:00 pm,84,ROUTE SURVEYED BY TIME PERIOD
MARTA 119,MID2 10:00 am - 11:00 am,83.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,AM5 8:00 am - 9:00 am,83.85,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM7 9:00 pm - 10:00 pm,83.8,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,PM4 6:00 pm - 7:00 pm,83.78,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 25,MID2 10:00 am - 11:00 am,83.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 125,MID3 11:00 am - 12:00 noon,83.56,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 20,PM1 3:00 pm - 4:00 pm,83.29,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,AM4 7:00 am - 8:00 am,83.17,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,AM4 7:00 am - 8:00 am,83.14,ROUTE SURVEYED BY TIME PERIOD
MARTA 191,AM3 6:00 am - 7:00 am,83.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,AM2 5:00 am - 6:00 am,83.06,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM6 8:00 pm - 9:00 pm,82.94,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,MID3 11:00 am - 12:00 noon,82.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM4 6:00 pm - 7:00 pm,82.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,AM5 8:00 am - 9:00 am,82.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 124,AM5 8:00 am - 9:00 am,82.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,PM5 7:00 pm - 8:00 pm,82.38,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 10,PM6 8:00 pm - 9:00 pm,82.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,MID5 1:00 pm - 2:00 pm,82.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,PM2 4:00 pm - 5:00 pm,82.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,MID5 1:00 pm - 2:00 pm,82.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM6 8:00 pm - 9:00 pm,81.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,AM3 6:00 am - 7:00 am,81.83,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID6 2:00 pm - 3:00 pm,81.74,ROUTE SURVEYED BY TIME PERIOD
MARTA 116,PM5 7:00 pm - 8:00 pm,81.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,AM4 7:00 am - 8:00 am,81.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID2 10:00 am - 11:00 am,81.2,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,AM5 8:00 am - 9:00 am,81.01,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 20,AM5 8:00 am - 9:00 am,80.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,AM3 6:00 am - 7:00 am,80.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 189,AM2 5:00 am - 6:00 am,80.63,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,PM4 6:00 pm - 7:00 pm,80.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 93,MID4 12:00 noon - 1:00 pm,80.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,AM3 6:00 am - 7:00 am,80.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 86,MID6 2:00 pm - 3:00 pm,80.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM7 9:00 pm - 10:00 pm,80.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,AM5 8:00 am - 9:00 am,80.18,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,PM5 7:00 pm - 8:00 pm,80.11,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,AM2 5:00 am - 6:00 am,80.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 116,MID2 10:00 am - 11:00 am,79.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID5 1:00 pm - 2:00 pm,79.81,ROUTE SURVEYED BY TIME PERIOD
SRTA 440,PM4 6:00 pm - 7:00 pm,79.47,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,PM5 7:00 pm - 8:00 pm,79.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,MID6 2:00 pm - 3:00 pm,78.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 58,MID3 11:00 am - 12:00 noon,78.79,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,PM2 4:00 pm - 5:00 pm,78.73,ROUTE SURVEYED BY TIME PERIOD
MARTA 119,PM2 4:00 pm - 5:00 pm,78.73,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 102,AM5 8:00 am - 9:00 am,78.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 195,PM2 4:00 pm - 5:00 pm,78.44,ROUTE SURVEYED BY TIME PERIOD
SRTA 413,PM2 4:00 pm - 5:00 pm,78.29,ROUTE SURVEYED BY TIME PERIOD
MARTA 191,PM6 8:00 pm - 9:00 pm,78.16,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,AM3 6:00 am - 7:00 am,78.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,PM6 8:00 pm - 9:00 pm,77.96,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,MID2 10:00 am - 11:00 am,77.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,PM1 3:00 pm - 4:00 pm,77.76,ROUTE SURVEYED BY TIME PERIOD
MARTA 162,MID3 11:00 am - 12:00 noon,77.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 120,PM4 6:00 pm - 7:00 pm,77.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID4 12:00 noon - 1:00 pm,77.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 102,MID3 11:00 am - 12:00 noon,77.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM1 3:00 pm - 4:00 pm,77.3,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID4 12:00 noon - 1:00 pm,77.19,ROUTE SURVEYED BY TIME PERIOD
MARTA 36,PM2 4:00 pm - 5:00 pm,77.13,ROUTE SURVEYED BY TIME PERIOD
MARTA 94,MID2 10:00 am - 11:00 am,77.03,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID5 1:00 pm - 2:00 pm,77.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 116,PM6 8:00 pm - 9:00 pm,76.45,ROUTE SURVEYED BY TIME PERIOD
SRTA 401,PM1 3:00 pm - 4:00 pm,76.38,ROUTE SURVEYED BY TIME PERIOD
MARTA 58,MID1 9:00 am - 10:00 am,76.3,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,PM4 6:00 pm - 7:00 pm,76.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 102,PM1 3:00 pm - 4:00 pm,76.19,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 50,PM6 8:00 pm - 9:00 pm,76.15,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 102,AM2 5:00 am - 6:00 am,76.01,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,MID2 10:00 am - 11:00 am,75.82,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,MID6 2:00 pm - 3:00 pm,75.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 194,MID6 2:00 pm - 3:00 pm,75.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 85,PM4 6:00 pm - 7:00 pm,75.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,AM3 6:00 am - 7:00 am,75.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM3 5:00 pm - 6:00 pm,75.53,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,MID1 9:00 am - 10:00 am,75.5,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,MID2 10:00 am - 11:00 am,75.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 193,PM5 7:00 pm - 8:00 pm,75.29,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM6 8:00 pm - 9:00 pm,75.27,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,PM5 7:00 pm - 8:00 pm,75.14,ROUTE SURVEYED BY TIME PERIOD
MARTA 185,MID1 9:00 am - 10:00 am,75.13,ROUTE SURVEYED BY TIME PERIOD
MARTA 143,PM2 4:00 pm - 5:00 pm,75,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 50,MID2 10:00 am - 11:00 am,74.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM4 6:00 pm - 7:00 pm,74.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,PM1 3:00 pm - 4:00 pm,74.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,AM2 5:00 am - 6:00 am,74.63,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,AM2 5:00 am - 6:00 am,74.59,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,PM1 3:00 pm - 4:00 pm,74.53,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,AM5 8:00 am - 9:00 am,74.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,AM4 7:00 am - 8:00 am,74.25,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 101,AM4 7:00 am - 8:00 am,74.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 120,AM3 6:00 am - 7:00 am,74.09,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 100,AM3 6:00 am - 7:00 am,74.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,MID6 2:00 pm - 3:00 pm,73.99,ROUTE SURVEYED BY TIME PERIOD
MARTA 172,PM5 7:00 pm - 8:00 pm,73.83,ROUTE SURVEYED BY TIME PERIOD
MARTA 40,MID1 9:00 am - 10:00 am,73.83,ROUTE SURVEYED BY TIME PERIOD
MARTA 189,MID4 12:00 noon - 1:00 pm,73.77,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 102,PM2 4:00 pm - 5:00 pm,73.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 81,PM5 7:00 pm - 8:00 pm,73.64,ROUTE SURVEYED BY TIME PERIOD
MARTA 66,PM1 3:00 pm - 4:00 pm,73.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 172,MID2 10:00 am - 11:00 am,73.35,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,MID5 1:00 pm - 2:00 pm,73.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM1 3:00 pm - 4:00 pm,73.06,ROUTE SURVEYED BY TIME PERIOD
MARTA 75,AM3 6:00 am - 7:00 am,72.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 42,MID2 10:00 am - 11:00 am,72.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,PM6 8:00 pm - 9:00 pm,72.4,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,MID1 9:00 am - 10:00 am,72.3,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,PM5 7:00 pm - 8:00 pm,71.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 180,PM2 4:00 pm - 5:00 pm,71.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,MID2 10:00 am - 11:00 am,71.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 49,MID4 12:00 noon - 1:00 pm,71.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 185,MID6 2:00 pm - 3:00 pm,71.22,ROUTE SURVEYED BY TIME PERIOD
MARTA 94,PM2 4:00 pm - 5:00 pm,71.17,ROUTE SURVEYED BY TIME PERIOD
MARTA 85,AM5 8:00 am - 9:00 am,71.13,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,PM4 6:00 pm - 7:00 pm,71.11,ROUTE SURVEYED BY TIME PERIOD
MARTA 192,PM2 4:00 pm - 5:00 pm,71.09,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 110,PM2 4:00 pm - 5:00 pm,71.06,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,PM2 4:00 pm - 5:00 pm,71.03,ROUTE SURVEYED BY TIME PERIOD
MARTA 66,PM4 6:00 pm - 7:00 pm,70.76,ROUTE SURVEYED BY TIME PERIOD
MARTA 26,AM5 8:00 am - 9:00 am,70.7,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID5 1:00 pm - 2:00 pm,70.55,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,MID6 2:00 pm - 3:00 pm,70.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,AM1 Before 5:00 am,70.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 93,PM2 4:00 pm - 5:00 pm,70.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 58,AM5 8:00 am - 9:00 am,70.27,ROUTE SURVEYED BY TIME PERIOD
MARTA 141,PM2 4:00 pm - 5:00 pm,70.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM5 7:00 pm - 8:00 pm,69.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,PM2 4:00 pm - 5:00 pm,69.89,ROUTE SURVEYED BY TIME PERIOD
MARTA 3,MID3 11:00 am - 12:00 noon,69.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 68,PM3 5:00 pm - 6:00 pm,69.68,ROUTE SURVEYED BY TIME PERIOD
MARTA 114,PM1 3:00 pm - 4:00 pm,69.68,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID4 12:00 noon - 1:00 pm,69.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 116,AM4 7:00 am - 8:00 am,69.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 82,AM4 7:00 am - 8:00 am,69.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 58,PM2 4:00 pm - 5:00 pm,69.5,ROUTE SURVEYED BY TIME PERIOD
MARTA 60,MID3 11:00 am - 12:00 noon,69.44,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,PM2 4:00 pm - 5:00 pm,69.38,ROUTE SURVEYED BY TIME PERIOD
MARTA 12,PM4 6:00 pm - 7:00 pm,69.36,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 15,MID2 10:00 am - 11:00 am,69.34,ROUTE SURVEYED BY TIME PERIOD
MARTA 85,MID1 9:00 am - 10:00 am,69.31,ROUTE SURVEYED BY TIME PERIOD
