ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 110,PM3 5:00 pm - 6:00 pm,184.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,AM2 5:00 am - 6:00 am,183.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM4 6:00 pm - 7:00 pm,181.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID6 2:00 pm - 3:00 pm,180.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM3 5:00 pm - 6:00 pm,180.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,AM4 7:00 am - 8:00 am,178.22,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID2 10:00 am - 11:00 am,177.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM5 7:00 pm - 8:00 pm,177.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM2 4:00 pm - 5:00 pm,177.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 86,MID1 9:00 am - 10:00 am,173.68,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM3 5:00 pm - 6:00 pm,173.49,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID2 10:00 am - 11:00 am,172.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID2 10:00 am - 11:00 am,172.54,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID2 10:00 am - 11:00 am,172.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM3 5:00 pm - 6:00 pm,170.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID1 9:00 am - 10:00 am,169.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID3 11:00 am - 12:00 noon,169.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID6 2:00 pm - 3:00 pm,166.91,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,PM2 4:00 pm - 5:00 pm,166.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM1 3:00 pm - 4:00 pm,166.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID2 10:00 am - 11:00 am,165.63,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM2 4:00 pm - 5:00 pm,165.42,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,PM2 4:00 pm - 5:00 pm,164.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM5 7:00 pm - 8:00 pm,164.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM4 6:00 pm - 7:00 pm,163.87,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM2 4:00 pm - 5:00 pm,163.76,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID4 12:00 noon - 1:00 pm,162.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,AM4 7:00 am - 8:00 am,162.4,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM2 4:00 pm - 5:00 pm,161.87,ROUTE SURVEYED BY TIME PERIOD
SRTA 476,PM1 3:00 pm - 4:00 pm,161.81,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM5 7:00 pm - 8:00 pm,160.66,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,PM3 5:00 pm - 6:00 pm,159.54,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,AM5 8:00 am - 9:00 am,158.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM6 8:00 pm - 9:00 pm,157.08,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,AM5 8:00 am - 9:00 am,156.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,AM2 5:00 am - 6:00 am,155.35,ROUTE SURVEYED BY TIME PERIOD
MARTA 12,AM5 8:00 am - 9:00 am,153.46,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM5 7:00 pm - 8:00 pm,153.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,AM4 7:00 am - 8:00 am,153.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM3 5:00 pm - 6:00 pm,152.19,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM3 5:00 pm - 6:00 pm,150.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM4 6:00 pm - 7:00 pm,150.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM2 4:00 pm - 5:00 pm,150.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,AM4 7:00 am - 8:00 am,150.11,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM1 3:00 pm - 4:00 pm,149.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 125,MID6 2:00 pm - 3:00 pm,149.6,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM2 4:00 pm - 5:00 pm,149.38,ROUTE SURVEYED BY TIME PERIOD
SRTA 453,PM2 4:00 pm - 5:00 pm,149.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID3 11:00 am - 12:00 noon,148.31,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,PM2 4:00 pm - 5:00 pm,147.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,AM5 8:00 am - 9:00 am,147.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,AM2 5:00 am - 6:00 am,147.3,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,AM5 8:00 am - 9:00 am,146.91,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID2 10:00 am - 11:00 am,146.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 86,PM3 5:00 pm - 6:00 pm,145.98,ROUTE SURVEYED BY TIME PERIOD
MARTA 12,MID1 9:00 am - 10:00 am,145.64,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,MID3 11:00 am - 12:00 noon,144.42,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM2 4:00 pm - 5:00 pm,144.3,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 10,MID2 10:00 am - 11:00 am,143.13,ROUTE SURVEYED BY TIME PERIOD
MARTA 95,MID3 11:00 am - 12:00 noon,142.9,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,AM4 7:00 am - 8:00 am,142.8,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM6 8:00 pm - 9:00 pm,142.27,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID3 11:00 am - 12:00 noon,141.81,ROUTE SURVEYED BY TIME PERIOD
