FROM,TO,Trips
Forsyth,Paulding,0
Forsyth,Rockdale,0
Forsyth,Spalding,0
Forsyth,Walton,0
Fulton,Barrow,11.33
Fulton,Bartow,0
Fulton,Carroll,13.71
Fulton,Cherokee,148.62
Fulton,Clayton,13518.81
Fulton,Cobb,3080.72
Fulton,Coweta,93.53
Fulton,DeKalb,36594.59
Fulton,Douglas,287.23
Fulton,Fayette,168.46
Fulton,Forsyth,703.6
Fulton,Fulton,127493.97
Fulton,Gwinnett,2370.88
Fulton,Hall,77.88
Fulton,Henry,196.22
Fulton,Newton,70.27
Fulton,Paulding,37.38
Fulton,Rockdale,288.23
Fulton,Spalding,11.36
Fulton,Walton,36.47
Gwinnett,Barrow,0
Gwinnett,Bartow,0
Gwinnett,Carroll,0
Gwinnett,Cherokee,0
Gwinnett,Clayton,326.34
Gwinnett,Cobb,41.76
Gwinnett,Coweta,0
Gwinnett,DeKalb,779.69
Gwinnett,Douglas,2.27
Gwinnett,Fayette,0
Gwinnett,Forsyth,3.78
Gwinnett,Fulton,1975.83
Gwinnett,Gwinnett,13.67
Gwinnett,Hall,0
Gwinnett,Henry,0
Gwinnett,Newton,0
Gwinnett,Paulding,0
Gwinnett,Rockdale,9.66
Gwinnett,Spalding,0
Gwinnett,Walton,0
Hall,Barrow,0
Hall,Bartow,0
Hall,Carroll,0
Hall,Cherokee,0
Hall,Clayton,7.96
Hall,Cobb,0
Hall,Coweta,0
Hall,DeKalb,0
Hall,Douglas,0
Hall,Fayette,0
Hall,Forsyth,0
Hall,Fulton,8.74
Hall,Gwinnett,0
Hall,Hall,0
Hall,Henry,0
Hall,Newton,0
Hall,Paulding,0
Hall,Rockdale,0
Hall,Spalding,0
Hall,Walton,0
Henry,Barrow,0
Henry,Bartow,0
Henry,Carroll,0
Henry,Cherokee,0
Henry,Clayton,46.35
Henry,Cobb,0
Henry,Coweta,0
Henry,DeKalb,52.39
Henry,Douglas,0
Henry,Fayette,0
Henry,Forsyth,0
Henry,Fulton,298.25
Henry,Gwinnett,9.3
Henry,Hall,0
Henry,Henry,0
Henry,Newton,0
Henry,Paulding,0
Henry,Rockdale,0
Henry,Spalding,0
Henry,Walton,0
Newton,Barrow,0
Newton,Bartow,0
Newton,Carroll,0
Newton,Cherokee,0
Newton,Clayton,1.39
Newton,Cobb,0
Newton,Coweta,0
Newton,DeKalb,6.66
Newton,Douglas,0
Newton,Fayette,0
Newton,Forsyth,0
Newton,Fulton,112.03
Newton,Gwinnett,3.05
Newton,Hall,0
Newton,Henry,0
Newton,Newton,0
Newton,Paulding,0
Newton,Rockdale,0
Newton,Spalding,0
Newton,Walton,0
Paulding,Barrow,0
Paulding,Bartow,0
Paulding,Carroll,0
Paulding,Cherokee,0
Paulding,Clayton,6.5
Paulding,Cobb,0
Paulding,Coweta,0
Paulding,DeKalb,26.23
Paulding,Douglas,0
Paulding,Fayette,0
Paulding,Forsyth,0
Paulding,Fulton,61.2
Paulding,Gwinnett,0
Paulding,Hall,0
Paulding,Henry,0
Paulding,Newton,0
Paulding,Paulding,0
Paulding,Rockdale,0
Paulding,Spalding,0
Paulding,Walton,0
Rockdale,Barrow,0
Rockdale,Bartow,0
Rockdale,Carroll,0
Rockdale,Cherokee,0
Rockdale,Clayton,22.35
Rockdale,Cobb,0
Rockdale,Coweta,0
Rockdale,DeKalb,62.53
Rockdale,Douglas,0
Rockdale,Fayette,0
Rockdale,Forsyth,0
Rockdale,Fulton,134.37
Rockdale,Gwinnett,0
Rockdale,Hall,0
Rockdale,Henry,0
Rockdale,Newton,0
Rockdale,Paulding,0
Rockdale,Rockdale,0
Rockdale,Spalding,0
Rockdale,Walton,0
Spalding,Barrow,0
Spalding,Bartow,0
Spalding,Carroll,0
Spalding,Cherokee,0
Spalding,Clayton,0
Spalding,Cobb,0
Spalding,Coweta,0
Spalding,DeKalb,0
Spalding,Douglas,0
Spalding,Fayette,0
Spalding,Forsyth,0
Spalding,Fulton,29.77
Spalding,Gwinnett,0
Spalding,Hall,0
Spalding,Henry,0
Spalding,Newton,0
Spalding,Paulding,0
Spalding,Rockdale,0
Spalding,Spalding,0
Spalding,Walton,0
Walton,Barrow,0
Walton,Bartow,0
Walton,Carroll,0
Walton,Cherokee,0
Walton,Clayton,0
Walton,Cobb,0
Walton,Coweta,0
Walton,DeKalb,14.82
Walton,Douglas,0
Walton,Fayette,0
Walton,Forsyth,0
Walton,Fulton,29.12
Walton,Gwinnett,0
Walton,Hall,0
Walton,Henry,0
Walton,Newton,0
Walton,Paulding,0
Walton,Rockdale,0
Walton,Spalding,0
Walton,Walton,0
